order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,day_of_week,month,order_size,workload_level
39,2022-05-14,Vadapav,Fastfood,$20,2,$40,Online,Mr.,Evening,Saturday,May,Small,Low
40,2023-05-02,Sandwich,Fastfood,$60,5,$300,Online,Mrs.,Night,Tuesday,May,Small,Low
41,2022-11-13,Cold Coffee,Beverages,$40,11,$440,NULL,Mr.,Afternoon,Sunday,November,Large,High
42,2022-09-05,Aalopuri,Fastfood,$20,8,$160,Online,Mrs.,Night,Monday,September,Medium,Medium
43,2022-05-26,Vadapav,Fastfood,$20,1,$20,Cash,Mr.,Night,Thursday,May,Small,Low
44,2022-08-28,Cold Coffee,Beverages,$40,12,$480,Cash,Mr.,Evening,Sunday,August,Large,High
45,2022-08-15,Sugarcane Juice,Beverages,$25,6,$150,Cash,Mrs.,Afternoon,Monday,August,Medium,Medium
46,2022-07-05,Vadapav,Fastfood,$20,7,$140,Cash,Mr.,Evening,Tuesday,July,Medium,Medium
47,2022-10-07,Sandwich,Fastfood,$60,7,$420,NULL,Mr.,Morning,Friday,October,Medium,Medium
48,2023-02-23,Sandwich,Fastfood,$60,14,$840,Online,Mr.,Afternoon,Thursday,February,Large,High
49,2022-06-11,Frankie,Fastfood,$50,4,$200,Online,Mrs.,Morning,Saturday,June,Small,Low
50,2022-02-11,Vadapav,Fastfood,$20,8,$160,Cash,Mrs.,Midnight,Friday,February,Medium,Medium
51,2022-05-16,Frankie,Fastfood,$50,15,$750,Online,Mrs.,Morning,Monday,May,Large,High
52,2023-03-16,Sugarcane Juice,Beverages,$25,12,$300,Cash,Mrs.,Midnight,Thursday,March,Large,High
53,2022-07-26,Aalopuri,Fastfood,$20,13,$260,Cash,Mr.,Afternoon,Tuesday,July,Large,High
54,2022-12-28,Panipuri,Fastfood,$20,14,$280,Online,Mrs.,Morning,Wednesday,December,Large,High
55,2022-07-05,Sandwich,Fastfood,$60,10,$600,Cash,Mr.,Night,Tuesday,July,Medium,Medium
56,2022-11-23,Panipuri,Fastfood,$20,11,$220,Cash,Mrs.,Midnight,Wednesday,November,Large,High
57,2022-04-08,Panipuri,Fastfood,$20,14,$280,Online,Mrs.,Morning,Friday,April,Large,High
58,2023-03-02,Vadapav,Fastfood,$20,6,$120,Online,Mrs.,Morning,Thursday,March,Medium,Medium
59,2022-01-07,Vadapav,Fastfood,$20,5,$100,Cash,Mr.,Morning,Friday,January,Small,Low
60,2022-11-06,Cold Coffee,Beverages,$40,2,$80,Online,Mr.,Night,Sunday,November,Small,Low
61,2022-12-25,Vadapav,Fastfood,$20,14,$280,Cash,Mrs.,Afternoon,Sunday,December,Large,High
62,2022-10-17,Sugarcane Juice,Beverages,$25,3,$75,Cash,Mr.,Afternoon,Monday,October,Small,Low
63,2022-01-12,Sandwich,Fastfood,$60,7,$420,Online,Mrs.,Morning,Wednesday,January,Medium,Medium
64,2022-09-12,Cold Coffee,Beverages,$40,1,$40,Cash,Mr.,Morning,Monday,September,Small,Low
65,2022-07-25,Aalopuri,Fastfood,$20,4,$80,Cash,Mr.,Morning,Monday,July,Small,Low
66,2022-05-04,Frankie,Fastfood,$50,2,$100,Cash,Mrs.,Morning,Wednesday,May,Small,Low
67,2022-05-15,Aalopuri,Fastfood,$20,9,$180,Cash,Mr.,Midnight,Sunday,May,Medium,Medium
68,2022-12-17,Cold Coffee,Beverages,$40,2,$80,NULL,Mr.,Night,Saturday,December,Small,Low
69,2023-10-01,Vadapav,Fastfood,$20,7,$140,Cash,Mr.,Midnight,Sunday,October,Medium,Medium
70,2022-09-05,Cold Coffee,Beverages,$40,14,$560,NULL,Mrs.,Morning,Monday,September,Large,High
71,2022-05-12,Cold Coffee,Beverages,$40,6,$240,Online,Mr.,Night,Thursday,May,Medium,Medium
72,2023-09-03,Frankie,Fastfood,$50,13,$650,Online,Mr.,Afternoon,Sunday,September,Large,High
73,2022-07-29,Panipuri,Fastfood,$20,5,$100,Cash,Mr.,Midnight,Friday,July,Small,Low
74,2022-08-15,Cold Coffee,Beverages,$40,10,$400,Online,Mrs.,Evening,Monday,August,Medium,Medium
75,2023-02-02,Cold Coffee,Beverages,$40,6,$240,Online,Mrs.,Afternoon,Thursday,February,Medium,Medium
76,2022-08-17,Vadapav,Fastfood,$20,9,$180,Online,Mr.,Morning,Wednesday,August,Medium,Medium
77,2023-04-02,Sugarcane Juice,Beverages,$25,12,$300,Cash,Mrs.,Midnight,Sunday,April,Large,High
78,2022-01-10,Vadapav,Fastfood,$20,4,$80,Cash,Mrs.,Evening,Monday,January,Small,Low
79,2022-05-11,Panipuri,Fastfood,$20,6,$120,Online,Mr.,Night,Wednesday,May,Medium,Medium
80,2022-05-24,Frankie,Fastfood,$50,13,$650,Cash,Mr.,Evening,Tuesday,May,Large,High
81,2022-11-19,Frankie,Fastfood,$50,12,$600,Online,Mrs.,Night,Saturday,November,Large,High
82,2022-07-17,Frankie,Fastfood,$50,3,$150,Online,Mrs.,Evening,Sunday,July,Small,Low
83,2022-11-13,Frankie,Fastfood,$50,11,$550,NULL,Mr.,Evening,Sunday,November,Large,High
84,2023-03-03,Panipuri,Fastfood,$20,13,$260,Cash,Mr.,Midnight,Friday,March,Large,High
85,2022-08-19,Aalopuri,Fastfood,$20,3,$60,Online,Mrs.,Night,Friday,August,Small,Low
86,2023-09-03,Aalopuri,Fastfood,$20,15,$300,Cash,Mr.,Morning,Sunday,September,Large,High
87,2022-05-29,Aalopuri,Fastfood,$20,8,$160,Cash,Mr.,Night,Sunday,May,Medium,Medium
88,2022-07-07,Cold Coffee,Beverages,$40,10,$400,Cash,Mr.,Evening,Thursday,July,Medium,Medium
89,2022-12-23,Aalopuri,Fastfood,$20,14,$280,Cash,Mr.,Evening,Friday,December,Large,High
90,2022-10-29,Vadapav,Fastfood,$20,15,$300,Online,Mr.,Night,Saturday,October,Large,High
91,2023-03-22,Cold Coffee,Beverages,$40,6,$240,NULL,Mrs.,Evening,Wednesday,March,Medium,Medium
92,2022-05-13,Aalopuri,Fastfood,$20,15,$300,Cash,Mr.,Afternoon,Friday,May,Large,High
93,2022-03-07,Cold Coffee,Beverages,$40,2,$80,Online,Mrs.,Midnight,Monday,March,Small,Low
94,2022-09-14,Aalopuri,Fastfood,$20,15,$300,NULL,Mrs.,Night,Wednesday,September,Large,High
95,2022-12-05,Sugarcane Juice,Beverages,$25,8,$200,Online,Mr.,Night,Monday,December,Medium,Medium
96,2022-08-22,Sandwich,Fastfood,$60,15,$900,NULL,Mr.,Morning,Monday,August,Large,High
97,2023-03-29,Cold Coffee,Beverages,$40,13,$520,Online,Mr.,Evening,Wednesday,March,Large,High
98,2022-12-24,Vadapav,Fastfood,$20,1,$20,Online,Mr.,Morning,Saturday,December,Small,Low
99,2022-11-09,Sugarcane Juice,Beverages,$25,3,$75,Cash,Mr.,Evening,Wednesday,November,Small,Low
100,2022-08-05,Panipuri,Fastfood,$20,11,$220,NULL,Mr.,Morning,Friday,August,Large,High
101,2023-03-26,Vadapav,Fastfood,$20,3,$60,Online,Mrs.,Morning,Sunday,March,Small,Low
102,2023-03-13,Cold Coffee,Beverages,$40,14,$560,Cash,Mr.,Morning,Monday,March,Large,High
103,2023-03-14,Cold Coffee,Beverages,$40,8,$320,Online,Mrs.,Midnight,Tuesday,March,Medium,Medium
104,2022-10-27,Cold Coffee,Beverages,$40,13,$520,Online,Mr.,Morning,Thursday,October,Large,High
105,2023-01-25,Panipuri,Fastfood,$20,8,$160,Cash,Mrs.,Evening,Wednesday,January,Medium,Medium
106,2023-02-25,Frankie,Fastfood,$50,9,$450,Cash,Mrs.,Evening,Saturday,February,Medium,Medium
107,2023-07-02,Sandwich,Fastfood,$60,4,$240,Online,Mr.,Afternoon,Sunday,July,Small,Low
108,2022-06-08,Panipuri,Fastfood,$20,5,$100,Online,Mr.,Afternoon,Wednesday,June,Small,Low
109,2022-08-08,Cold Coffee,Beverages,$40,12,$480,NULL,Mr.,Afternoon,Monday,August,Large,High
110,2022-11-16,Panipuri,Fastfood,$20,2,$40,Online,Mrs.,Morning,Wednesday,November,Small,Low
111,2022-04-09,Sandwich,Fastfood,$60,8,$480,Cash,Mrs.,Midnight,Saturday,April,Medium,Medium
112,2023-02-24,Sandwich,Fastfood,$60,7,$420,Cash,Mr.,Morning,Friday,February,Medium,Medium
113,2022-12-12,Aalopuri,Fastfood,$20,8,$160,Cash,Mr.,Afternoon,Monday,December,Medium,Medium
114,2022-08-14,Aalopuri,Fastfood,$20,10,$200,Online,Mr.,Afternoon,Sunday,August,Medium,Medium
115,2023-12-01,Aalopuri,Fastfood,$20,13,$260,NULL,Mr.,Evening,Friday,December,Large,High
116,2022-08-26,Sugarcane Juice,Beverages,$25,13,$325,Cash,Mr.,Evening,Friday,August,Large,High
117,2023-09-03,Frankie,Fastfood,$50,7,$350,Online,Mrs.,Evening,Sunday,September,Medium,Medium
118,2022-06-07,Sandwich,Fastfood,$60,1,$60,Online,Mr.,Midnight,Tuesday,June,Small,Low
119,2022-12-05,Panipuri,Fastfood,$20,10,$200,Cash,Mr.,Evening,Monday,December,Medium,Medium
120,2022-10-07,Frankie,Fastfood,$50,2,$100,Cash,Mrs.,Evening,Friday,October,Small,Low
121,2022-08-26,Cold Coffee,Beverages,$40,8,$320,Cash,Mr.,Afternoon,Friday,August,Medium,Medium
122,2022-04-24,Panipuri,Fastfood,$20,3,$60,NULL,Mrs.,Night,Sunday,April,Small,Low
123,2022-09-06,Cold Coffee,Beverages,$40,6,$240,Online,Mr.,Evening,Tuesday,September,Medium,Medium
124,2022-10-14,Sugarcane Juice,Beverages,$25,13,$325,NULL,Mrs.,Evening,Friday,October,Large,High
125,2022-10-04,Vadapav,Fastfood,$20,7,$140,Cash,Mrs.,Midnight,Tuesday,October,Medium,Medium
126,2022-08-04,Panipuri,Fastfood,$20,11,$220,Online,Mrs.,Night,Thursday,August,Large,High
127,2022-03-12,Aalopuri,Fastfood,$20,1,$20,NULL,Mrs.,Morning,Saturday,March,Small,Low
128,2022-07-08,Vadapav,Fastfood,$20,11,$220,Online,Mr.,Midnight,Friday,July,Large,High
129,2022-10-19,Panipuri,Fastfood,$20,13,$260,Cash,Mrs.,Morning,Wednesday,October,Large,High
130,2022-12-28,Sugarcane Juice,Beverages,$25,7,$175,Cash,Mr.,Night,Wednesday,December,Medium,Medium
131,2023-01-19,Sandwich,Fastfood,$60,8,$480,Cash,Mr.,Night,Thursday,January,Medium,Medium
132,2022-05-12,Vadapav,Fastfood,$20,4,$80,Online,Mrs.,Night,Thursday,May,Small,Low
133,2022-12-20,Aalopuri,Fastfood,$20,5,$100,Online,Mr.,Midnight,Tuesday,December,Small,Low
134,2022-07-17,Aalopuri,Fastfood,$20,12,$240,Online,Mrs.,Night,Sunday,July,Large,High
135,2023-01-14,Aalopuri,Fastfood,$20,8,$160,Online,Mr.,Midnight,Saturday,January,Medium,Medium
136,2022-08-24,Aalopuri,Fastfood,$20,15,$300,Online,Mr.,Morning,Wednesday,August,Large,High
137,2023-03-19,Sugarcane Juice,Beverages,$25,6,$150,NULL,Mr.,Afternoon,Sunday,March,Medium,Medium
138,2022-01-09,Sandwich,Fastfood,$60,15,$900,Online,Mr.,Night,Sunday,January,Large,High
139,2023-02-26,Frankie,Fastfood,$50,11,$550,Online,Mrs.,Night,Sunday,February,Large,High
140,2022-12-06,Frankie,Fastfood,$50,13,$650,Cash,Mr.,Night,Tuesday,December,Large,High
141,2022-06-15,Aalopuri,Fastfood,$20,4,$80,NULL,Mr.,Evening,Wednesday,June,Small,Low
142,2022-12-30,Sugarcane Juice,Beverages,$25,12,$300,Cash,Mrs.,Morning,Friday,December,Large,High
143,2022-09-18,Frankie,Fastfood,$50,8,$400,NULL,Mrs.,Afternoon,Sunday,September,Medium,Medium
144,2022-11-17,Panipuri,Fastfood,$20,10,$200,Cash,Mrs.,Evening,Thursday,November,Medium,Medium
145,2022-09-10,Sandwich,Fastfood,$60,14,$840,Online,Mr.,Morning,Saturday,September,Large,High
146,2022-10-28,Frankie,Fastfood,$50,4,$200,NULL,Mrs.,Afternoon,Friday,October,Small,Low
147,2022-05-17,Panipuri,Fastfood,$20,7,$140,Online,Mr.,Evening,Tuesday,May,Medium,Medium
148,2023-03-19,Sandwich,Fastfood,$60,13,$780,Online,Mr.,Evening,Sunday,March,Large,High
149,2022-09-08,Sandwich,Fastfood,$60,7,$420,Online,Mr.,Morning,Thursday,September,Medium,Medium
150,2023-01-30,Cold Coffee,Beverages,$40,14,$560,Cash,Mr.,Afternoon,Monday,January,Large,High
151,2022-10-07,Frankie,Fastfood,$50,13,$650,Online,Mrs.,Morning,Friday,October,Large,High
152,2022-10-24,Cold Coffee,Beverages,$40,9,$360,Online,Mr.,Afternoon,Monday,October,Medium,Medium
153,2022-07-21,Panipuri,Fastfood,$20,1,$20,Cash,Mrs.,Evening,Thursday,July,Small,Low
154,2022-12-13,Vadapav,Fastfood,$20,3,$60,Cash,Mr.,Night,Tuesday,December,Small,Low
155,2023-07-02,Sugarcane Juice,Beverages,$25,10,$250,Cash,Mrs.,Evening,Sunday,July,Medium,Medium
156,2023-03-25,Panipuri,Fastfood,$20,14,$280,Cash,Mr.,Midnight,Saturday,March,Large,High
157,2023-02-24,Frankie,Fastfood,$50,7,$350,Online,Mrs.,Midnight,Friday,February,Medium,Medium
158,2022-05-16,Aalopuri,Fastfood,$20,2,$40,NULL,Mr.,Midnight,Monday,May,Small,Low
159,2022-03-10,Sugarcane Juice,Beverages,$25,1,$25,Online,Mrs.,Afternoon,Thursday,March,Small,Low
160,2022-07-23,Vadapav,Fastfood,$20,10,$200,Online,Mr.,Night,Saturday,July,Medium,Medium
161,2023-01-19,Sugarcane Juice,Beverages,$25,12,$300,Cash,Mr.,Evening,Thursday,January,Large,High
162,2022-07-05,Aalopuri,Fastfood,$20,11,$220,Cash,Mr.,Midnight,Tuesday,July,Large,High
163,2023-06-01,Frankie,Fastfood,$50,6,$300,Online,Mrs.,Midnight,Thursday,June,Medium,Medium
164,2022-10-08,Sugarcane Juice,Beverages,$25,7,$175,Online,Mr.,Afternoon,Saturday,October,Medium,Medium
165,2023-05-01,Sandwich,Fastfood,$60,11,$660,Cash,Mr.,Midnight,Monday,May,Large,High
166,2022-01-06,Panipuri,Fastfood,$20,6,$120,Cash,Mrs.,Evening,Thursday,January,Medium,Medium
167,2023-02-23,Cold Coffee,Beverages,$40,6,$240,Cash,Mrs.,Morning,Thursday,February,Medium,Medium
168,2022-04-19,Sandwich,Fastfood,$60,4,$240,Cash,Mrs.,Midnight,Tuesday,April,Small,Low
169,2022-06-20,Vadapav,Fastfood,$20,6,$120,Cash,Mr.,Morning,Monday,June,Medium,Medium
170,2023-02-13,Aalopuri,Fastfood,$20,6,$120,NULL,Mrs.,Afternoon,Monday,February,Medium,Medium
171,2023-02-03,Vadapav,Fastfood,$20,11,$220,Cash,Mrs.,Midnight,Friday,February,Large,High
172,2022-08-27,Sugarcane Juice,Beverages,$25,6,$150,Online,Mrs.,Night,Saturday,August,Medium,Medium
173,2023-01-20,Cold Coffee,Beverages,$40,2,$80,Online,Mr.,Night,Friday,January,Small,Low
174,2022-03-09,Aalopuri,Fastfood,$20,2,$40,Online,Mr.,Evening,Wednesday,March,Small,Low
175,2022-10-17,Frankie,Fastfood,$50,12,$600,Cash,Mrs.,Afternoon,Monday,October,Large,High
176,2022-04-08,Panipuri,Fastfood,$20,1,$20,Cash,Mrs.,Midnight,Friday,April,Small,Low
177,2022-07-21,Panipuri,Fastfood,$20,11,$220,Online,Mrs.,Morning,Thursday,July,Large,High
178,2022-09-12,Aalopuri,Fastfood,$20,2,$40,Cash,Mrs.,Morning,Monday,September,Small,Low
179,2023-03-03,Sugarcane Juice,Beverages,$25,5,$125,NULL,Mrs.,Midnight,Friday,March,Small,Low
180,2022-01-12,Vadapav,Fastfood,$20,6,$120,Online,Mrs.,Afternoon,Wednesday,January,Medium,Medium
181,2022-09-06,Cold Coffee,Beverages,$40,7,$280,Cash,Mrs.,Night,Tuesday,September,Medium,Medium
182,2022-02-07,Cold Coffee,Beverages,$40,1,$40,Cash,Mr.,Midnight,Monday,February,Small,Low
183,2022-10-07,Sugarcane Juice,Beverages,$25,5,$125,Cash,Mrs.,Midnight,Friday,October,Small,Low
184,2023-03-01,Cold Coffee,Beverages,$40,8,$320,Cash,Mr.,Night,Wednesday,March,Medium,Medium
185,2023-01-13,Sugarcane Juice,Beverages,$25,15,$375,NULL,Mr.,Night,Friday,January,Large,High
186,2023-03-15,Frankie,Fastfood,$50,2,$100,Online,Mr.,Afternoon,Wednesday,March,Small,Low
187,2022-11-10,Aalopuri,Fastfood,$20,15,$300,Cash,Mrs.,Morning,Thursday,November,Large,High
188,2022-12-28,Panipuri,Fastfood,$20,14,$280,Cash,Mrs.,Night,Wednesday,December,Large,High
189,2023-08-02,Vadapav,Fastfood,$20,12,$240,Online,Mr.,Afternoon,Wednesday,August,Large,High
190,2022-04-26,Cold Coffee,Beverages,$40,1,$40,Online,Mr.,Evening,Tuesday,April,Small,Low
191,2022-05-20,Sugarcane Juice,Beverages,$25,14,$350,Cash,Mrs.,Morning,Friday,May,Large,High
192,2022-10-26,Vadapav,Fastfood,$20,2,$40,Online,Mr.,Night,Wednesday,October,Small,Low
193,2023-05-02,Cold Coffee,Beverages,$40,15,$600,Online,Mrs.,Midnight,Tuesday,May,Large,High
194,2022-12-15,Vadapav,Fastfood,$20,4,$80,Cash,Mrs.,Morning,Thursday,December,Small,Low
195,2022-04-23,Sandwich,Fastfood,$60,4,$240,Cash,Mrs.,Night,Saturday,April,Small,Low
196,2022-06-25,Sandwich,Fastfood,$60,3,$180,Cash,Mr.,Evening,Saturday,June,Small,Low
197,2022-08-11,Panipuri,Fastfood,$20,10,$200,Cash,Mrs.,Midnight,Thursday,August,Medium,Medium
198,2023-05-01,Frankie,Fastfood,$50,15,$750,Cash,Mr.,Morning,Monday,May,Large,High
199,2023-01-02,Frankie,Fastfood,$50,6,$300,Online,Mrs.,Morning,Monday,January,Medium,Medium
200,2022-12-25,Cold Coffee,Beverages,$40,10,$400,Cash,Mrs.,Morning,Sunday,December,Medium,Medium
201,2022-06-30,Panipuri,Fastfood,$20,8,$160,Cash,Mr.,Morning,Thursday,June,Medium,Medium
202,2022-09-21,Aalopuri,Fastfood,$20,9,$180,Cash,Mr.,Afternoon,Wednesday,September,Medium,Medium
203,2022-11-04,Vadapav,Fastfood,$20,6,$120,Online,Mrs.,Midnight,Friday,November,Medium,Medium
204,2022-10-24,Cold Coffee,Beverages,$40,7,$280,Cash,Mrs.,Evening,Monday,October,Medium,Medium
205,2022-10-17,Vadapav,Fastfood,$20,4,$80,NULL,Mr.,Afternoon,Monday,October,Small,Low
206,2022-07-27,Aalopuri,Fastfood,$20,4,$80,Cash,Mr.,Night,Wednesday,July,Small,Low
207,2023-02-20,Cold Coffee,Beverages,$40,8,$320,Online,Mrs.,Evening,Monday,February,Medium,Medium
208,2022-08-26,Cold Coffee,Beverages,$40,13,$520,Cash,Mrs.,Midnight,Friday,August,Large,High
209,2022-04-12,Aalopuri,Fastfood,$20,2,$40,Cash,Mr.,Night,Tuesday,April,Small,Low
210,2023-02-01,Sugarcane Juice,Beverages,$25,15,$375,NULL,Mr.,Night,Wednesday,February,Large,High
211,2022-04-18,Aalopuri,Fastfood,$20,12,$240,Cash,Mr.,Morning,Monday,April,Large,High
212,2022-05-05,Cold Coffee,Beverages,$40,12,$480,Online,Mrs.,Morning,Thursday,May,Large,High
213,2022-09-29,Vadapav,Fastfood,$20,3,$60,NULL,Mrs.,Midnight,Thursday,September,Small,Low
214,2022-03-12,Sugarcane Juice,Beverages,$25,14,$350,Online,Mr.,Evening,Saturday,March,Large,High
215,2022-10-12,Sugarcane Juice,Beverages,$25,7,$175,NULL,Mrs.,Morning,Wednesday,October,Medium,Medium
216,2023-07-03,Panipuri,Fastfood,$20,9,$180,Cash,Mrs.,Afternoon,Monday,July,Medium,Medium
217,2023-03-23,Cold Coffee,Beverages,$40,10,$400,Cash,Mr.,Morning,Thursday,March,Medium,Medium
218,2022-12-23,Cold Coffee,Beverages,$40,13,$520,Online,Mrs.,Midnight,Friday,December,Large,High
219,2022-01-10,Aalopuri,Fastfood,$20,9,$180,Cash,Mrs.,Evening,Monday,January,Medium,Medium
220,2022-05-13,Sugarcane Juice,Beverages,$25,1,$25,Cash,Mr.,Afternoon,Friday,May,Small,Low
221,2023-03-26,Sandwich,Fastfood,$60,1,$60,Online,Mr.,Evening,Sunday,March,Small,Low
222,2022-11-09,Sandwich,Fastfood,$60,6,$360,Cash,Mrs.,Morning,Wednesday,November,Medium,Medium
223,2022-09-21,Panipuri,Fastfood,$20,13,$260,Online,Mr.,Night,Wednesday,September,Large,High
224,2023-03-23,Sugarcane Juice,Beverages,$25,14,$350,Cash,Mr.,Afternoon,Thursday,March,Large,High
225,2023-03-16,Frankie,Fastfood,$50,11,$550,Cash,Mrs.,Evening,Thursday,March,Large,High
226,2022-12-12,Aalopuri,Fastfood,$20,13,$260,Online,Mrs.,Afternoon,Monday,December,Large,High
227,2022-11-17,Cold Coffee,Beverages,$40,5,$200,Cash,Mrs.,Afternoon,Thursday,November,Small,Low
228,2022-05-11,Panipuri,Fastfood,$20,8,$160,Online,Mr.,Night,Wednesday,May,Medium,Medium
229,2022-12-15,Panipuri,Fastfood,$20,7,$140,NULL,Mr.,Evening,Thursday,December,Medium,Medium
230,2022-04-16,Frankie,Fastfood,$50,6,$300,Online,Mr.,Afternoon,Saturday,April,Medium,Medium
231,2022-04-16,Sugarcane Juice,Beverages,$25,3,$75,NULL,Mr.,Night,Saturday,April,Small,Low
232,2022-04-23,Vadapav,Fastfood,$20,13,$260,Cash,Mrs.,Night,Saturday,April,Large,High
233,2022-07-31,Panipuri,Fastfood,$20,5,$100,Cash,Mr.,Morning,Sunday,July,Small,Low
234,2022-07-27,Panipuri,Fastfood,$20,10,$200,Cash,Mr.,Midnight,Wednesday,July,Medium,Medium
235,2022-11-29,Sandwich,Fastfood,$60,10,$600,Cash,Mrs.,Afternoon,Tuesday,November,Medium,Medium
236,2022-06-26,Vadapav,Fastfood,$20,12,$240,NULL,Mrs.,Evening,Sunday,June,Large,High
237,2022-08-11,Panipuri,Fastfood,$20,13,$260,Cash,Mrs.,Midnight,Thursday,August,Large,High
238,2022-04-26,Vadapav,Fastfood,$20,13,$260,Cash,Mr.,Morning,Tuesday,April,Large,High
239,2022-04-12,Frankie,Fastfood,$50,4,$200,Online,Mr.,Evening,Tuesday,April,Small,Low
240,2022-11-12,Sandwich,Fastfood,$60,10,$600,Cash,Mrs.,Morning,Saturday,November,Medium,Medium
241,2022-06-06,Sugarcane Juice,Beverages,$25,2,$50,Cash,Mr.,Afternoon,Monday,June,Small,Low
242,2022-12-23,Cold Coffee,Beverages,$40,4,$160,Online,Mrs.,Midnight,Friday,December,Small,Low
243,2022-12-11,Panipuri,Fastfood,$20,5,$100,Cash,Mrs.,Midnight,Sunday,December,Small,Low
244,2022-11-22,Sandwich,Fastfood,$60,10,$600,Online,Mrs.,Midnight,Tuesday,November,Medium,Medium
245,2022-03-10,Vadapav,Fastfood,$20,2,$40,Cash,Mrs.,Morning,Thursday,March,Small,Low
246,2022-11-16,Vadapav,Fastfood,$20,10,$200,Cash,Mr.,Afternoon,Wednesday,November,Medium,Medium
